adenoma	DOID_657	hsa-let-7a	normal	Northern blot, qRT-PCR etc	2007.0	Disrupting the pairing between let-7 and Hmga2 enhances oncogenic transformation.
bladder cancer	DOID_4007	hsa-mir-221	up-regulated	northern blot, qRT-PCR etc	2009.0	MicroRNA-221 silencing predisposed human bladder cancer cells to undergo apoptosis induced by TRAIL
bladder cancer	DOID_4007	hsa-mir-21	up-regulated	northern blot, qRT-PCR etc	2009.0	Distinct microRNA alterations characterize high- and low-grade bladder cancer
bladder cancer	DOID_4007	hsa-mir-100	down-regulated	northern blot, qRT-PCR etc	2009.0	Distinct microRNA alterations characterize high- and low-grade bladder cancer
bladder cancer	DOID_4007	hsa-mir-99a	down-regulated	northern blot, qRT-PCR etc	2009.0	Distinct microRNA alterations characterize high- and low-grade bladder cancer
bladder cancer	DOID_4007	hsa-mir-185	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
bladder cancer	DOID_4007	hsa-mir-133a	down-regulated	northern blot, qRT-PCR etc	2009.0	Identification of novel microRNA targets based on microRNA signatures in bladder cancer.
bladder cancer	DOID_4007	hsa-mir-21	up-regulated	microarray	2009.0	Genomic profiling of microRNAs in bladder cancer: miR-129 is associated with poor outcome and promotes cell death in vitro.
bladder cancer	DOID_4007	hsa-mir-195	down-regulated	northern blot, qRT-PCR etc	2009.0	Identification of novel microRNA targets based on microRNA signatures in bladder cancer.
bladder cancer	DOID_4007	hsa-mir-26a	down-regulated	northern blot, qRT-PCR etc	2009.0	Up-regulation of microRNA in bladder tumor tissue is not common.
bladder cancer	DOID_4007	hsa-mir-29c	down-regulated	northern blot, qRT-PCR etc	2009.0	Up-regulation of microRNA in bladder tumor tissue is not common.
bladder cancer	DOID_4007	hsa-mir-30-3p	down-regulated	northern blot, qRT-PCR etc	2009.0	Identification of novel microRNA targets based on microRNA signatures in bladder cancer.
bladder cancer	DOID_4007	hsa-mir-30c	down-regulated	northern blot, qRT-PCR etc	2009.0	Up-regulation of microRNA in bladder tumor tissue is not common.
bladder cancer	DOID_4007	hsa-mir-30e-5p	down-regulated	northern blot, qRT-PCR etc	2009.0	Up-regulation of microRNA in bladder tumor tissue is not common.
bladder cancer	DOID_4007	hsa-mir-133b	down-regulated	northern blot, qRT-PCR etc	2009.0	Identification of novel microRNA targets based on microRNA signatures in bladder cancer.
bladder cancer	DOID_4007	hsa-mir-145	down-regulated	northern blot, qRT-PCR etc	2009.0	Identification of novel microRNA targets based on microRNA signatures in bladder cancer.
bladder cancer	DOID_4007	hsa-mir-145	down-regulated	microarray	2009.0	Genomic profiling of microRNAs in bladder cancer: miR-129 is associated with poor outcome and promotes cell death in vitro.
bladder cancer	DOID_4007	hsa-mir-203	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
bladder cancer	DOID_4007	hsa-mir-26b	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
bladder cancer	DOID_4007	hsa-mir-125b	down-regulated	northern blot, qRT-PCR etc	2009.0	Identification of novel microRNA targets based on microRNA signatures in bladder cancer.
bladder cancer	DOID_4007	hsa-mir-129	down-regulated	northern blot, qRT-PCR etc	2009.0	Genomic profiling of microRNAs in bladder cancer: miR-129 is associated with poor outcome and promotes cell death in vitro.
bladder cancer	DOID_4007	hsa-mir-17-5p	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
bladder cancer	DOID_4007	hsa-mir-199a*	down-regulated	northern blot, qRT-PCR etc	2009.0	Identification of novel microRNA targets based on microRNA signatures in bladder cancer.
bladder cancer	DOID_4007	hsa-mir-103-1	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
bladder cancer	DOID_4007	hsa-mir-31	down-regulated	microarray	2009.0	MiRNA expression in urothelial carcinomas: Important roles of miR-10a, miR-222,miR-125b, miR-7 and miR-452 for tumor stage and metastasis, and frequent homozygous losses of miR-31.
bladder cancer	DOID_4007	hsa-mir-101	down-regulated	northern blot, qRT-PCR etc	2009.0	The putative tumor suppressor microRNA-101 modulates the cancer epigenome by repressing the polycomb group protein EZH2.
bladder cancer	DOID_4007	hsa-mir-222	up-regulated	northern blot, qRT-PCR etc	2009.0	MiRNA expression in urothelial carcinomas: Important roles of miR-10a, miR-222,miR-125b, miR-7 and miR-452 for tumor stage and metastasis, and frequent homozygous losses of miR-31.
bladder cancer	DOID_4007	hsa-mir-452	up-regulated	microarray	2009.0	MiRNA expression in urothelial carcinomas: Important roles of miR-10a, miR-222,miR-125b, miR-7 and miR-452 for tumor stage and metastasis, and frequent homozygous losses of miR-31.
bladder cancer	DOID_4007	hsa-mir-452*	up-regulated	microarray	2009.0	MiRNA expression in urothelial carcinomas: Important roles of miR-10a, miR-222,miR-125b, miR-7 and miR-452 for tumor stage and metastasis, and frequent homozygous losses of miR-31.
bladder cancer	DOID_4007	hsa-mir-7	up-regulated	microarray	2009.0	MiRNA expression in urothelial carcinomas: Important roles of miR-10a, miR-222,miR-125b, miR-7 and miR-452 for tumor stage and metastasis, and frequent homozygous losses of miR-31.
bladder cancer	DOID_4007	hsa-mir-10a	up-regulated	microarray	2009.0	MiRNA expression in urothelial carcinomas: Important roles of miR-10a, miR-222,miR-125b, miR-7 and miR-452 for tumor stage and metastasis, and frequent homozygous losses of miR-31.
bladder cancer	DOID_4007	hsa-mir-127	down-regulated	Northern blot, qRT-PCR etc	2006.0	Specific activation of microRNA-127 with downregulation of the proto-oncogene BCL6 by chromatin-modifying drugs in human cancer cells.
bladder cancer	DOID_4007	hsa-mir-125b	up-regulated	microarray	2009.0	MiRNA expression in urothelial carcinomas: Important roles of miR-10a, miR-222,miR-125b, miR-7 and miR-452 for tumor stage and metastasis, and frequent homozygous losses of miR-31.
bladder cancer	DOID_4007	hsa-mir-143	down-regulated	northern blot, qRT-PCR etc	2009.0	MicroRNA-143 as a tumor suppressor for bladder cancer.
bladder cancer	DOID_4007	hsa-mir-221	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
bladder cancer	DOID_4007	hsa-mir-21	up-regulated	Northern blot, qRT-PCR etc	2008.0	A microRNA expression ratio defining the invasive phenotype in bladder tumors.
bladder cancer	DOID_4007	hsa-mir-205	down-regulated	Northern blot, qRT-PCR etc	2008.0	A microRNA expression ratio defining the invasive phenotype in bladder tumors.
bladder cancer	DOID_4007	hsa-mir-223	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
bladder cancer	DOID_4007	hsa-mir-205	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
bladder cancer	DOID_4007	hsa-mir-23a	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
bladder cancer	DOID_4007	hsa-mir-23b	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
breast cancer	DOID_3459	hsa-let-7i	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-204	down-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-125a	down-regulated	Northern blot, qRT-PCR etc	2006.0	Coordinate suppression of ERBB2 and ERBB3 by enforced expression of micro-RNA miR-125a or miR-125b.
breast cancer	DOID_3459	hsa-mir-146b	down-regulated	Northern blot, qRT-PCR etc	2008.0	Expression of microRNA-146 suppresses NF-kappaB activity with reduction of metastatic potential in breast cancer cells.
breast cancer	DOID_3459	hsa-let-7d	down-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-125a	down-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-125b	down-regulated	Northern blot, qRT-PCR etc	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-125b	down-regulated	Northern blot, qRT-PCR etc	2006.0	Coordinate suppression of ERBB2 and ERBB3 by enforced expression of micro-RNA miR-125a or miR-125b.
breast cancer	DOID_3459	hsa-mir-152	down-regulated	Northern blot, qRT-PCR etc	2007.0	Epigenetic inactivation of microRNA gene hsa-mir-9-1 in human breast cancer.
breast cancer	DOID_3459	hsa-mir-152	down-regulated	Northern blot, qRT-PCR etc	2007.0	Epigenetic inactivation of microRNA genes in mammary carcinoma.
breast cancer	DOID_3459	hsa-mir-136	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-210	up-regulated	Northern blot, qRT-PCR etc	2008.0	hsa-miR-210 Is induced by hypoxia and is an independent prognostic factor in breast cancer.
breast cancer	DOID_3459	hsa-mir-210	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-373	up-regulated	Northern blot, qRT-PCR etc	2008.0	The microRNAs miR-373 and miR-520c promote tumour invasion and metastasis.
breast cancer	DOID_3459	hsa-mir-27a	up-regulated	northern blot, qRT-PCR etc	2009.0	Coordinate Regulation of FOXO1 by miR-27a, miR-96, and miR-182 in Breast Cancer Cells.
breast cancer	DOID_3459	hsa-mir-661	down-regulated	northern blot, qRT-PCR etc	2009.0	MicroRNA-661, a c/EBPalpha target, inhibits metastatic tumor antigen 1 and regulates its functions.
breast cancer	DOID_3459	hsa-mir-125b	normal	northern blot, qRT-PCR etc	2009.0	A risk variant in an miR-125b binding site in BMPR1B is associated with breast cancer pathogenesis
breast cancer	DOID_3459	hsa-mir-181a	down-regulated	northern blot, qRT-PCR etc	2009.0	Widespread estrogen-dependent repression of micrornas involved in breast tumor cell growth
breast cancer	DOID_3459	hsa-mir-26a	down-regulated	northern blot, qRT-PCR etc	2009.0	Widespread estrogen-dependent repression of micrornas involved in breast tumor cell growth
breast cancer	DOID_3459	hsa-mir-200b	down-regulated	northern blot, qRT-PCR etc	2009.0	E-cadherin transcriptional down-regulation by epigenetic and microRNA-200 family alterations is related to mesenchymal and drug-resistant phenotypes in human breast cancer cells.
breast cancer	DOID_3459	hsa-mir-200c	down-regulated	northern blot, qRT-PCR etc	2009.0	E-cadherin transcriptional down-regulation by epigenetic and microRNA-200 family alterations is related to mesenchymal and drug-resistant phenotypes in human breast cancer cells.
breast cancer	DOID_3459	hsa-mir-31a	down-regulated	northern blot, qRT-PCR etc	2009.0	Concomitant suppression of three target genes can explain the impact of a microRNA on metastasis
breast cancer	DOID_3459	hsa-mir-125a	down-regulated	northern blot, qRT-PCR etc	2009.0	MicroRNA-125a represses cell growth by targeting HuR in breast cancer
breast cancer	DOID_3459	hsa-mir-170	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-663	down-regulated	Northern blot, qRT-PCR etc	2007.0	Epigenetic inactivation of microRNA gene hsa-mir-9-1 in human breast cancer.
breast cancer	DOID_3459	hsa-mir-663	down-regulated	Northern blot, qRT-PCR etc	2007.0	Epigenetic inactivation of microRNA genes in mammary carcinoma.
breast cancer	DOID_3459	hsa-mir-10b	up-regulated	Northern blot, qRT-PCR etc	2007.0	Tumour invasion and metastasis initiated by microRNA-10b in breast cancer.
breast cancer	DOID_3459	hsa-mir-10b	down-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-122a	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-200a	down-regulated	Northern blot, qRT-PCR etc	2008.0	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
breast cancer	DOID_3459	hsa-mir-200b	down-regulated	Northern blot, qRT-PCR etc	2008.0	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
breast cancer	DOID_3459	hsa-mir-206	down-regulated	Northern blot, qRT-PCR etc	2008.0	Endogenous human microRNAs that suppress breast cancer metastasis.
breast cancer	DOID_3459	hsa-mir-155	up-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-196a	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-200c	down-regulated	northern blot, qRT-PCR etc	2009.0	Downregulation of miRNA-200c links breast cancer stem cells with normal stem cells.
breast cancer	DOID_3459	hsa-mir-31	down-regulated	northern blot, qRT-PCR etc	2009.0	A pleiotropically acting microRNA, miR-31, inhibits breast cancer metastasis.
breast cancer	DOID_3459	hsa-mir-9-3	down-regulated	northern blot, qRT-PCR etc	2009.0	Xenoestrogen-Induced Epigenetic Repression of microRNA-9-3 in Breast Epithelial Cells.
breast cancer	DOID_3459	hsa-mir-18a	up-regulated	northern blot, qRT-PCR etc	2009.0	Differential expression profiles of microRNAs between breast cancer cells and mammary epithelial cells.
breast cancer	DOID_3459	hsa-mir-193b	down-regulated	northern blot, qRT-PCR etc	2009.0	Downregulation of miR-193b contributes to enhance urokinase-type plasminogen activator (uPA) expression and tumor progression and invasion in human breast
breast cancer	DOID_3459	hsa-mir-195	up-regulated	northern blot, qRT-PCR etc	2009.0	Differential expression profiles of microRNAs between breast cancer cells and mammary epithelial cells.
breast cancer	DOID_3459	hsa-mir-196a-2	up-regulated	microarray	2009.0	microRNA miR-196a-2 and breast cancer: a genetic and epigenetic association study and functional analysis.
breast cancer	DOID_3459	hsa-mir-96	up-regulated	northern blot, qRT-PCR etc	2009.0	Coordinate Regulation of FOXO1 by miR-27a, miR-96, and miR-182 in Breast Cancer Cells.
breast cancer	DOID_3459	hsa-mir-182	up-regulated	northern blot, qRT-PCR etc	2009.0	Coordinate Regulation of FOXO1 by miR-27a, miR-96, and miR-182 in Breast Cancer Cells.
breast cancer	DOID_3459	hsa-mir-27a	up-regulated	Northern blot, qRT-PCR etc	2007.0	The oncogenic microRNA-27a targets genes that regulate specificity protein transcription factors and the G2-M checkpoint in MDA-MB-231 breast cancer cells.
breast cancer	DOID_3459	hsa-mir-200c	down-regulated	Northern blot, qRT-PCR etc	2008.0	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
breast cancer	DOID_3459	hsa-mir-202	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-203	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-126	down-regulated	Northern blot, qRT-PCR etc	2008.0	Endogenous human microRNAs that suppress breast cancer metastasis.
breast cancer	DOID_3459	hsa-mir-125a	down-regulated	northern blot, qRT-PCR etc	2009.0	Germline mutation of microRNA-125a is associated with breast cancer.
breast cancer	DOID_3459	hsa-mir-17-5p	down-regulated	Northern blot, qRT-PCR etc	2006.0	Mir-17-5p regulates breast cancer cell proliferation by inhibiting translation of AIB1 mRNA.
breast cancer	DOID_3459	hsa-mir-17-5p	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
breast cancer	DOID_3459	hsa-mir-101-1	down-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-21	up-regulated	northern blot, qRT-PCR etc	2009.0	Up-regulation of miR-21 by HER2/neu Signaling Promotes Cell Invasion.
breast cancer	DOID_3459	hsa-mir-22	up-regulated	northern blot, qRT-PCR etc	2009.0	miR-22 inhibits estrogen signaling by directly targeting the estrogen receptor alpha mRNA.
breast cancer	DOID_3459	hsa-mir-200c	up-regulated	northern blot, qRT-PCR etc	2009.0	MicroRNA-200c mitigates invasiveness and restores sensitivity to microtubule-targeting chemotherapeutic agents.
breast cancer	DOID_3459	hsa-mir-148a	down-regulated	Northern blot, qRT-PCR etc	2007.0	Epigenetic inactivation of microRNA gene hsa-mir-9-1 in human breast cancer.
breast cancer	DOID_3459	hsa-mir-148a	down-regulated	Northern blot, qRT-PCR etc	2007.0	Epigenetic inactivation of microRNA genes in mammary carcinoma.
breast cancer	DOID_3459	hsa-mir-328	up-regulated	northern blot, qRT-PCR etc	2009.0	MicroRNA-328 Negatively Regulates the Expression of Breast Cancer Resistance Protein (BCRP/ABCG2) in Human Cancer Cells.
breast cancer	DOID_3459	hsa-mir-7	down-regulated	northern blot, qRT-PCR etc	2009.0	Regulation of epidermal growth factor receptor signaling in human cancer cells by microRNA-7.
breast cancer	DOID_3459	hsa-mir-429	down-regulated	Northern blot, qRT-PCR etc	2008.0	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
breast cancer	DOID_3459	hsa-mir-451	down-regulated	Northern blot, qRT-PCR etc	2008.0	Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.
breast cancer	DOID_3459	hsa-mir-124a	down-regulated	Northern blot, qRT-PCR etc	2007.0	Genetic unmasking of an epigenetically silenced microRNA in human cancer cells.
breast cancer	DOID_3459	hsa-mir-9-1	down-regulated	Northern blot, qRT-PCR etc	2007.0	Epigenetic inactivation of microRNA gene hsa-mir-9-1 in human breast cancer.
breast cancer	DOID_3459	hsa-mir-9-1	down-regulated	Northern blot, qRT-PCR etc	2007.0	Epigenetic inactivation of microRNA genes in mammary carcinoma.
breast cancer	DOID_3459	hsa-mir-141	down-regulated	Northern blot, qRT-PCR etc	2008.0	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
breast cancer	DOID_3459	hsa-mir-155	up-regulated	Northern blot, qRT-PCR etc	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-155	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
breast cancer	DOID_3459	hsa-mir-205	down-regulated	northern blot, qRT-PCR etc	2009.0	microRNA-205 regulates HER3 in human breast cancer.
breast cancer	DOID_3459	hsa-mir-335	down-regulated	Northern blot, qRT-PCR etc	2008.0	Endogenous human microRNAs that suppress breast cancer metastasis.
breast cancer	DOID_3459	hsa-mir-126	down-regulated	Northern blot, qRT-PCR etc	2009.0	The cell growth suppressor, mir-126, targets IRS-1.
breast cancer	DOID_3459	hsa-mir-127	down-regulated	Northern blot, qRT-PCR etc	2006.0	Specific activation of microRNA-127 with downregulation of the proto-oncogene BCL6 by chromatin-modifying drugs in human cancer cells.
breast cancer	DOID_3459	hsa-mir-143	down-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-213	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-128b	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-355	down-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-365		microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-497	down-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-516-3p	up-regulated	Northern blot, qRT-PCR etc	2008.0	Four miRNAs associated with aggressiveness of lymph node-negative, estrogen receptor-positive human breast cancer.
breast cancer	DOID_3459	hsa-mir-155	up-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA-155 is regulated by the transforming growth factor beta/Smad pathway and contributes to epithelial cell plasticity by targeting RhoA.
breast cancer	DOID_3459	hsa-mir-204	up-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA-mediated inhibition of prostate-derived Ets factor messenger RNA translation affects prostate-derived Ets factor regulatory networks in human breast cancer.
breast cancer	DOID_3459	hsa-mir-21	up-regulated	Northern blot, qRT-PCR etc	2008.0	High miR-21 expression in breast cancer associated with poor disease-free survival in early stage disease and high TGF-beta1.
breast cancer	DOID_3459	hsa-mir-221	up-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA-221/222 Confers Tamoxifen Resistance in Breast Cancer by Targeting p27Kip1.
breast cancer	DOID_3459	hsa-mir-221	up-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA-221/222 Negatively Regulates Estrogen Receptor{alpha} and Is Associated with Tamoxifen Resistance in Breast Cancer.
breast cancer	DOID_3459	hsa-mir-222	up-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA-221/222 Confers Tamoxifen Resistance in Breast Cancer by Targeting p27Kip1.
breast cancer	DOID_3459	hsa-mir-222	up-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA-221/222 Negatively Regulates Estrogen Receptor{alpha} and Is Associated with Tamoxifen Resistance in Breast Cancer.
breast cancer	DOID_3459	hsa-mir-510	up-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA-mediated inhibition of prostate-derived Ets factor messenger RNA translation affects prostate-derived Ets factor regulatory networks in human breast cancer.
breast cancer	DOID_3459	hsa-mir-7	down-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA-7, a homeobox D10 target, inhibits p21-activated kinase 1 and regulates its functions.
breast cancer	DOID_3459	hsa-mir-127	down-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-let-7f	up-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-let-7a	down-regulated	Northern blot, qRT-PCR etc	2007.0	let-7 regulates self renewal and tumorigenicity of breast cancer cells.
breast cancer	DOID_3459	hsa-mir-206	down-regulated	Northern blot, qRT-PCR etc	2008.0	miR-206 Expression is down-regulated in estrogen receptor alpha-positive human breast cancer.
breast cancer	DOID_3459	hsa-mir-206	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-21	up-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-210	up-regulated	Northern blot, qRT-PCR etc	2008.0	Four miRNAs associated with aggressiveness of lymph node-negative, estrogen receptor-positive human breast cancer.
breast cancer	DOID_3459	hsa-mir-29b	up-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-29c	up-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-30a-3p	down-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-17-5p	down-regulated	Northern blot, qRT-PCR etc	2008.0	A cyclin D1/microRNA 17/20 regulatory feedback loop in control of breast cancer cell proliferation.
breast cancer	DOID_3459	hsa-mir-181b	up-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-181d	up-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-20a	down-regulated	Northern blot, qRT-PCR etc	2008.0	A cyclin D1/microRNA 17/20 regulatory feedback loop in control of breast cancer cell proliferation.
breast cancer	DOID_3459	hsa-mir-128a	up-regulated	Northern blot, qRT-PCR etc	2008.0	Four miRNAs associated with aggressiveness of lymph node-negative, estrogen receptor-positive human breast cancer.
breast cancer	DOID_3459	hsa-mir-146a	up-regulated	Northern blot, qRT-PCR etc	2008.0	A functional polymorphism in the miR-146a gene and age of familial breast/ovarian cancer diagnosis.
breast cancer	DOID_3459	hsa-mir-31	down-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-320	down-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-7	up-regulated	Northern blot, qRT-PCR etc	2008.0	Four miRNAs associated with aggressiveness of lymph node-negative, estrogen receptor-positive human breast cancer.
breast cancer	DOID_3459	hsa-mir-98	up-regulated	microarray	2008.0	MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.
breast cancer	DOID_3459	hsa-mir-145	down-regulated	Northern blot, qRT-PCR etc	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-181b-1	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
breast cancer	DOID_3459	hsa-mir-196a-2	up-regulated	microarray	2005.0	MicroRNA gene expression deregulation in human breast cancer.
breast cancer	DOID_3459	hsa-mir-29b-2	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
