Label	Relation
does not overlap sequence of	http://purl.obolibrary.org/obo/RO_0002527
results in transport across	http://purl.obolibrary.org/obo/RO_0002342
produces	http://purl.obolibrary.org/obo/RO_0003000
receives synaptic input from neuron	http://purl.obolibrary.org/obo/RO_0013008
causally upstream of or within, negative effect	http://purl.obolibrary.org/obo/RO_0004046
is negative form of	http://purl.obolibrary.org/obo/RO_0004050
occurent part of	http://purl.obolibrary.org/obo/RO_0002012
sequentially ordered entity	http://purl.obolibrary.org/obo/RO_0002532
mutually spatially disjoint with	http://purl.obolibrary.org/obo/RO_0002171
ameliorates condition	http://purl.obolibrary.org/obo/RO_0003307
has primary input	http://purl.obolibrary.org/obo/RO_0004009
in homoplasy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000002
characteristic of	http://purl.obolibrary.org/obo/RO_0000052
in paramorphism relationship with	http://purl.obolibrary.org/obo/RO_HOM0000074
involved in	http://purl.obolibrary.org/obo/RO_0002331
phenotype of	http://purl.obolibrary.org/obo/RO_0002201
has developmental stage marker	http://purl.obolibrary.org/obo/RO_0002546
relation has no temporal argument	http://purl.obolibrary.org/obo/RO_0001902
has mesoparasite	http://purl.obolibrary.org/obo/RO_0002637
contains	http://purl.obolibrary.org/obo/RO_0001019
obsolete related via dependence to	http://purl.obolibrary.org/obo/RO_0002609
results in acquisition of features of	http://purl.obolibrary.org/obo/RO_0002315
in semi-orthology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000026
connecting branch of	http://purl.obolibrary.org/obo/RO_0002252
bounds sequence of	http://purl.obolibrary.org/obo/RO_0002522
intracellular endoparasite of	http://purl.obolibrary.org/obo/RO_0002640
has skeleton	http://purl.obolibrary.org/obo/RO_0002551
directly positively regulated by	http://purl.obolibrary.org/obo/RO_0002024
results in determination of	http://purl.obolibrary.org/obo/RO_0002349
child nucleus of in hermaphrodite	http://purl.obolibrary.org/obo/RO_0002477
over-expressed in	http://purl.obolibrary.org/obo/RO_0002245
existence ends during	http://purl.obolibrary.org/obo/RO_0002492
results in transport along	http://purl.obolibrary.org/obo/RO_0002341
occurs across	http://purl.obolibrary.org/obo/RO_0002021
obsolete has indirect input	http://purl.obolibrary.org/obo/RO_0002401
disease arises from structure	http://purl.obolibrary.org/obo/RO_0004030
capable of upregulating or causing pathological process	http://purl.obolibrary.org/obo/RO_0002600
has anatomical participant	http://purl.obolibrary.org/obo/RO_0040036
present in taxon	http://purl.obolibrary.org/obo/RO_0002175
provides nutrients for	http://purl.obolibrary.org/obo/RO_0002469
starts with	http://purl.obolibrary.org/obo/RO_0002224
logical macro assertion on a property	http://purl.obolibrary.org/obo/RO_0002421
in non functional homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000016
ambiguous for taxon	http://purl.obolibrary.org/obo/RO_0002173
is causal loss of function germline mutation of in	http://purl.obolibrary.org/obo/RO_0004012
has necessary component activity	http://purl.obolibrary.org/obo/RO_0002016
has muscle insertion	http://purl.obolibrary.org/obo/RO_0002373
has branching part	http://purl.obolibrary.org/obo/RO_0002569
in syntenic orthology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000013
transports	http://purl.obolibrary.org/obo/RO_0002020
has regulatory component activity	http://purl.obolibrary.org/obo/RO_0002013
in 1 to 1 orthology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000020
biotically interacts with	http://purl.obolibrary.org/obo/RO_0002437
imports	http://purl.obolibrary.org/obo/RO_0002340
directly regulates activity of	http://purl.obolibrary.org/obo/RO_0002448
depends on	http://purl.obolibrary.org/obo/RO_0002502
develops into	http://purl.obolibrary.org/obo/RO_0002203
under-expressed in	http://purl.obolibrary.org/obo/RO_0002246
interacts with via parasite-host interaction	http://purl.obolibrary.org/obo/RO_0002443
receives synaptic input throughout	http://purl.obolibrary.org/obo/RO_0013005
has substance added	http://purl.obolibrary.org/obo/RO_0009001
is evidence for	http://purl.obolibrary.org/obo/RO_0002472
logical macro assertion on an object property	http://purl.obolibrary.org/obo/RO_0002422
ubiquitously expresses	http://purl.obolibrary.org/obo/RO_0002293
in tandem paralogy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000055
results in fusion of	http://purl.obolibrary.org/obo/RO_0012008
in 1 to 1 homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000019
never in taxon	http://purl.obolibrary.org/obo/RO_0002161
has positive regulatory component activity	http://purl.obolibrary.org/obo/RO_0002015
functionally related to	http://purl.obolibrary.org/obo/RO_0002328
mereotopologically related to	http://purl.obolibrary.org/obo/RO_0002323
happens during	http://purl.obolibrary.org/obo/RO_0002092
has synaptic terminal in	http://purl.obolibrary.org/obo/RO_0002130
participates in a biotic-biotic interaction with	http://purl.obolibrary.org/obo/RO_0002574
deprecated bearer of	http://purl.obolibrary.org/obo/RO_0004097
has partial material basis in germline mutation in	http://purl.obolibrary.org/obo/RO_0004006
ribosomal translation of	http://purl.obolibrary.org/obo/RO_0002512
has ligand	http://purl.obolibrary.org/obo/RO_0002019
before or simultaneous with	http://purl.obolibrary.org/obo/RO_0002081
causal relationship with disease as subject	http://purl.obolibrary.org/obo/RO_0004023
has potential to directly develop into	http://purl.obolibrary.org/obo/RO_0002388
has flowers visited by	http://purl.obolibrary.org/obo/RO_0002623
has vector	http://purl.obolibrary.org/obo/RO_0002460
in apomorphy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000042
has postsynaptic terminal in	http://purl.obolibrary.org/obo/RO_0002110
is downstream of sequence of	http://purl.obolibrary.org/obo/RO_0002529
has effector activity	http://purl.obolibrary.org/obo/RO_0002025
stabilizes quantity of	http://purl.obolibrary.org/obo/RO_0011015
disease has feature	http://purl.obolibrary.org/obo/RO_0004029
in between-species paralogy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000050
developmentally succeeded by	http://purl.obolibrary.org/obo/RO_0002286
2d boundary of	http://purl.obolibrary.org/obo/RO_0002000
annotation property cardinality	http://purl.obolibrary.org/obo/RO_0002419
differs in attribute of	http://purl.obolibrary.org/obo/RO_0002425
ecologically related to	http://purl.obolibrary.org/obo/RO_0002321
temporally related to	http://purl.obolibrary.org/obo/RO_0002222
directly develops into	http://purl.obolibrary.org/obo/RO_0002210
has intermediate	http://purl.obolibrary.org/obo/RO_0002505
synapsed_by_via_type_is_bouton	http://purl.obolibrary.org/obo/RO_0002112
has output	http://purl.obolibrary.org/obo/RO_0002234
capable of part of	http://purl.obolibrary.org/obo/RO_0002216
in homotopy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000071
pollinated by	http://purl.obolibrary.org/obo/RO_0002456
in syngeny relationship with	http://purl.obolibrary.org/obo/RO_HOM0000058
input of	http://purl.obolibrary.org/obo/RO_0002352
parasite of	http://purl.obolibrary.org/obo/RO_0002444
results in commitment to	http://purl.obolibrary.org/obo/RO_0002348
has component process	http://purl.obolibrary.org/obo/RO_0002018
in historical homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000007
commensually interacts with	http://purl.obolibrary.org/obo/RO_0002441
has part structure that is capable of	http://purl.obolibrary.org/obo/RO_0002584
existence starts during	http://purl.obolibrary.org/obo/RO_0002488
has habitat	http://purl.obolibrary.org/obo/RO_0002303
has muscle origin	http://purl.obolibrary.org/obo/RO_0002372
start, days post fertilization	http://purl.obolibrary.org/obo/RO_0002539
obsolete actively participates in	http://purl.obolibrary.org/obo/RO_0002217
is commensalism	http://purl.obolibrary.org/obo/RO_0002466
negatively regulated by	http://purl.obolibrary.org/obo/RO_0002335
determined by	http://purl.obolibrary.org/obo/RO_0002507
in many to many orthology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000048
genomically related to	http://purl.obolibrary.org/obo/RO_0002330
ubiquitously expressed in	http://purl.obolibrary.org/obo/RO_0002291
facultative parasite of	http://purl.obolibrary.org/obo/RO_0002228
is ubiquitination	http://purl.obolibrary.org/obo/RO_0002482
has eggs laid on by	http://purl.obolibrary.org/obo/RO_0008508
directly regulates quantity of	http://purl.obolibrary.org/obo/RO_0011021
directly provides input for	http://purl.obolibrary.org/obo/RO_0002413
sends synaptic output throughout	http://purl.obolibrary.org/obo/RO_0013006
is directional form of	http://purl.obolibrary.org/obo/RO_0004048
developmentally contributes to	http://purl.obolibrary.org/obo/RO_0002255
logical macro assertion on a class	http://purl.obolibrary.org/obo/RO_0002420
has input	http://purl.obolibrary.org/obo/RO_0002233
overlaps	http://purl.obolibrary.org/obo/RO_0002131
shares ancestor with	http://purl.obolibrary.org/obo/RO_0002158
has primary input or output	http://purl.obolibrary.org/obo/RO_0004007
ends after	http://purl.obolibrary.org/obo/RO_0002086
phosphorylates	http://purl.obolibrary.org/obo/RO_0002447
kleptoparasite of	http://purl.obolibrary.org/obo/RO_0008503
is allergic trigger for	http://purl.obolibrary.org/obo/RO_0001020
logical macro assertion	http://purl.obolibrary.org/obo/RO_0002416
in interology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000063
innervated_by	http://purl.obolibrary.org/obo/RO_0002005
transports or maintains localization of	http://purl.obolibrary.org/obo/RO_0002313
continuous with	http://purl.obolibrary.org/obo/RO_0002150
results in catabolism of	http://purl.obolibrary.org/obo/RO_0002589
evidential logical macro assertion on an axiom	http://purl.obolibrary.org/obo/RO_0002611
directly regulated by	http://purl.obolibrary.org/obo/RO_0002022
bounding layer of	http://purl.obolibrary.org/obo/RO_0002007
symbiotically interacts with	http://purl.obolibrary.org/obo/RO_0002440
condition ameliorated by	http://purl.obolibrary.org/obo/RO_0003310
has parasitoid	http://purl.obolibrary.org/obo/RO_0002209
is opposite of	http://purl.obolibrary.org/obo/RO_0002604
is parasitism	http://purl.obolibrary.org/obo/RO_0002468
electrically_synapsed_to	http://purl.obolibrary.org/obo/RO_0002003
cell expresses	http://purl.obolibrary.org/obo/RO_0002009
is eaten by	http://purl.obolibrary.org/obo/RO_0002471
is basis for realizable	http://purl.obolibrary.org/obo/RO_0004018
kleptoparasitized by	http://purl.obolibrary.org/obo/RO_0008504
has biological role	http://purl.obolibrary.org/obo/RO_0002260
starts	http://purl.obolibrary.org/obo/RO_0002223
regulates	http://purl.obolibrary.org/obo/RO_0002211
has participant	http://purl.obolibrary.org/obo/RO_0000057
curator guidance link	http://purl.obolibrary.org/obo/RO_0002484
is immediately downstream of sequence of	http://purl.obolibrary.org/obo/RO_0002530
ends during	http://purl.obolibrary.org/obo/RO_0002093
eats	http://purl.obolibrary.org/obo/RO_0002470
in similarity relationship with	http://purl.obolibrary.org/obo/RO_HOM0000000
synapsed_via_type_ib_bouton_to	http://purl.obolibrary.org/obo/RO_0002105
increases by expression quantity of	http://purl.obolibrary.org/obo/RO_0011008
realized in response to	http://purl.obolibrary.org/obo/RO_0009501
has pathogen	http://purl.obolibrary.org/obo/RO_0002557
parasitoid of	http://purl.obolibrary.org/obo/RO_0002208
causally downstream of	http://purl.obolibrary.org/obo/RO_0002404
immersed in	http://purl.obolibrary.org/obo/RO_0009003
has end sequence	http://purl.obolibrary.org/obo/RO_0002518
luminal space of	http://purl.obolibrary.org/obo/RO_0002572
is direct form of	http://purl.obolibrary.org/obo/RO_0002575
synapsed_via_type_is_bouton_to	http://purl.obolibrary.org/obo/RO_0002106
has small molecule activator	http://purl.obolibrary.org/obo/RO_0012001
in hypermorphosis relationship with	http://purl.obolibrary.org/obo/RO_HOM0000052
is indirect form of	http://purl.obolibrary.org/obo/RO_0002579
location of	http://purl.obolibrary.org/obo/RO_0001015
regulates in other organism	http://purl.obolibrary.org/obo/RO_0002010
is causal gain of function germline mutation of in	http://purl.obolibrary.org/obo/RO_0004011
in heterochronous homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000028
quality of	http://purl.obolibrary.org/obo/RO_0000080
preys on	http://purl.obolibrary.org/obo/RO_0002439
axon synapses in	http://purl.obolibrary.org/obo/RO_0002102
has primary substance added	http://purl.obolibrary.org/obo/RO_0009005
results in synthesis of	http://purl.obolibrary.org/obo/RO_0002587
results in ending of	http://purl.obolibrary.org/obo/RO_0002552
is small molecule regulator	http://purl.obolibrary.org/obo/RO_0012004
ecologically co-occurs with	http://purl.obolibrary.org/obo/RO_0008506
determines	http://purl.obolibrary.org/obo/RO_0002508
positively regulates	http://purl.obolibrary.org/obo/RO_0002213
interaction relation helper property	http://purl.obolibrary.org/obo/RO_0002563
visits	http://purl.obolibrary.org/obo/RO_0002618
has ectoparasite	http://purl.obolibrary.org/obo/RO_0002633
causally influences	http://purl.obolibrary.org/obo/RO_0002566
subject participant in	http://purl.obolibrary.org/obo/RO_0002462
distributary of	http://purl.obolibrary.org/obo/RO_0002377
causally downstream of or within	http://purl.obolibrary.org/obo/RO_0002427
realizable has basis in	http://purl.obolibrary.org/obo/RO_0004017
in orthology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000017
endoparasite of	http://purl.obolibrary.org/obo/RO_0002634
in paedomorphorsis relationship with	http://purl.obolibrary.org/obo/RO_HOM0000029
obsolete has direct output	http://purl.obolibrary.org/obo/RO_0002402
spatially coextensive with	http://purl.obolibrary.org/obo/RO_0002379
develops in	http://purl.obolibrary.org/obo/RO_0002226
is causal susceptibility factor for	http://purl.obolibrary.org/obo/RO_0004015
function of	http://purl.obolibrary.org/obo/RO_0000079
obsolete has active participant	http://purl.obolibrary.org/obo/RO_0002218
in paralogy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000011
composed primarily of	http://purl.obolibrary.org/obo/RO_0002473
ribosomally translates to	http://purl.obolibrary.org/obo/RO_0002513
directly activates	http://purl.obolibrary.org/obo/RO_0002406
has component activity	http://purl.obolibrary.org/obo/RO_0002017
is treated by substance	http://purl.obolibrary.org/obo/RO_0002302
develops from	http://purl.obolibrary.org/obo/RO_0002202
disease has basis in disruption of	http://purl.obolibrary.org/obo/RO_0004021
has small molecule inhibitor	http://purl.obolibrary.org/obo/RO_0012002
colocalizes with	http://purl.obolibrary.org/obo/RO_0002325
ends with	http://purl.obolibrary.org/obo/RO_0002230
preyed upon by	http://purl.obolibrary.org/obo/RO_0002458
produced by	http://purl.obolibrary.org/obo/RO_0003001
trophically interacts with	http://purl.obolibrary.org/obo/RO_0002438
causal relation between material entity and a process	http://purl.obolibrary.org/obo/RO_0002595
directly positively regulates	http://purl.obolibrary.org/obo/RO_0002629
exemplar data of	http://purl.obolibrary.org/obo/RO_0015002
is a defining property chain axiom where second argument is reflexive	http://purl.obolibrary.org/obo/RO_0002582
mesoparasite of	http://purl.obolibrary.org/obo/RO_0002636
in partial homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000014
has epiphyte	http://purl.obolibrary.org/obo/RO_0008502
developmentally related to	http://purl.obolibrary.org/obo/RO_0002324
has function	http://purl.obolibrary.org/obo/RO_0000085
sends synaptic output to cell	http://purl.obolibrary.org/obo/RO_0013009
results in movement of	http://purl.obolibrary.org/obo/RO_0002565
only in taxon	http://purl.obolibrary.org/obo/RO_0002160
causal agent in process	http://purl.obolibrary.org/obo/RO_0002500
directly negatively regulates quantity of	http://purl.obolibrary.org/obo/RO_0011010
is causal somatic mutation in	http://purl.obolibrary.org/obo/RO_0004014
is kinase activity	http://purl.obolibrary.org/obo/RO_0002481
has exposure receptor	http://purl.obolibrary.org/obo/RO_0002240
kills	http://purl.obolibrary.org/obo/RO_0002626
existence starts at end of	http://purl.obolibrary.org/obo/RO_0002583
serially homologous to	http://purl.obolibrary.org/obo/RO_0002159
innervates	http://purl.obolibrary.org/obo/RO_0002134
existence starts during or after	http://purl.obolibrary.org/obo/RO_0002496
has fasciculating neuron projection	http://purl.obolibrary.org/obo/RO_0002132
surrounds	http://purl.obolibrary.org/obo/RO_0002221
in synology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000053
capable of negatively regulating	http://purl.obolibrary.org/obo/RO_0002597
in plerology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000069
subcluster of	http://purl.obolibrary.org/obo/RO_0015003
allelopath of	http://purl.obolibrary.org/obo/RO_0002555
molecular interaction relation helper property	http://purl.obolibrary.org/obo/RO_0002564
regulates transport of	http://purl.obolibrary.org/obo/RO_0002011
taxonomic class assertion	http://purl.obolibrary.org/obo/RO_0002172
in structural homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000006
has quality	http://purl.obolibrary.org/obo/RO_0000086
is substance that treats	http://purl.obolibrary.org/obo/RO_0002606
drains	http://purl.obolibrary.org/obo/RO_0002179
has potential to developmentally induce	http://purl.obolibrary.org/obo/RO_0002386
disease has infectious agent	http://purl.obolibrary.org/obo/RO_0014001
involved in positive regulation of	http://purl.obolibrary.org/obo/RO_0002429
obsolete has indirect output	http://purl.obolibrary.org/obo/RO_0002403
has endoparasite	http://purl.obolibrary.org/obo/RO_0002635
before	http://purl.obolibrary.org/obo/RO_0002083
causes condition	http://purl.obolibrary.org/obo/RO_0003303
has consumer	http://purl.obolibrary.org/obo/RO_0009004
has muscle antagonist	http://purl.obolibrary.org/obo/RO_0002568
has primary output	http://purl.obolibrary.org/obo/RO_0004008
in within-species paralogy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000049
is symbiosis	http://purl.obolibrary.org/obo/RO_0002465
contributes to severity of condition	http://purl.obolibrary.org/obo/RO_0003305
indirectly negatively regulates activity of	http://purl.obolibrary.org/obo/RO_0011016
has exposure transport path	http://purl.obolibrary.org/obo/RO_0002243
has small molecule regulator	http://purl.obolibrary.org/obo/RO_0012000
results in developmental progression of	http://purl.obolibrary.org/obo/RO_0002295
starts before	http://purl.obolibrary.org/obo/RO_0002089
acts upstream of or within	http://purl.obolibrary.org/obo/RO_0002264
start, days post coitum	http://purl.obolibrary.org/obo/RO_0002547
has connecting branch	http://purl.obolibrary.org/obo/RO_0002253
causally upstream of or within, positive effect	http://purl.obolibrary.org/obo/RO_0004047
indirectly regulates activity of	http://purl.obolibrary.org/obo/RO_0011004
root parasite of	http://purl.obolibrary.org/obo/RO_0002236
results in specification of	http://purl.obolibrary.org/obo/RO_0002356
acts upstream of or within, negative effect	http://purl.obolibrary.org/obo/RO_0004033
parasitized by	http://purl.obolibrary.org/obo/RO_0002445
in 1 to many homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000037
obsolete in neural circuit with	http://purl.obolibrary.org/obo/RO_0000300
hyperparasitized by	http://purl.obolibrary.org/obo/RO_0002554
skeleton of	http://purl.obolibrary.org/obo/RO_0002576
is marker for	http://purl.obolibrary.org/obo/RO_0002607
has synaptic terminal of	http://purl.obolibrary.org/obo/RO_0002006
indirectly negatively regulates quantity of	http://purl.obolibrary.org/obo/RO_0011023
lumen of	http://purl.obolibrary.org/obo/RO_0002571
confers advantage in	http://purl.obolibrary.org/obo/RO_0002322
has substance removed	http://purl.obolibrary.org/obo/RO_0009002
contributes to morphology of	http://purl.obolibrary.org/obo/RO_0002433
mutualistically interacts with	http://purl.obolibrary.org/obo/RO_0002442
hemiparasite of	http://purl.obolibrary.org/obo/RO_0002237
has eggs laid in by	http://purl.obolibrary.org/obo/RO_0002625
in plesiomorphy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000043
in serial homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000027
in peramorphosis relationship with	http://purl.obolibrary.org/obo/RO_HOM0000030
characteristic of part of	http://purl.obolibrary.org/obo/RO_0002314
sequentially adjacent to	http://purl.obolibrary.org/obo/RO_0002515
disease causes dysfunction of	http://purl.obolibrary.org/obo/RO_0004025
realized in response to stimulus	http://purl.obolibrary.org/obo/RO_0004028
disease has basis in feature	http://purl.obolibrary.org/obo/RO_0004022
is end sequence of	http://purl.obolibrary.org/obo/RO_0002519
dendrite synapsed in	http://purl.obolibrary.org/obo/RO_0002121
concretizes	http://purl.obolibrary.org/obo/RO_0000059
in homeosis relationship with	http://purl.obolibrary.org/obo/RO_HOM0000072
intercellular endoparasite of	http://purl.obolibrary.org/obo/RO_0002638
has start time value	http://purl.obolibrary.org/obo/RO_0002537
pathogen of	http://purl.obolibrary.org/obo/RO_0002556
acts upstream of, positive effect	http://purl.obolibrary.org/obo/RO_0004034
aligned with	http://purl.obolibrary.org/obo/RO_0002001
directly positively regulates activity of	http://purl.obolibrary.org/obo/RO_0002450
is small molecule activator	http://purl.obolibrary.org/obo/RO_0012005
developmentally induced by	http://purl.obolibrary.org/obo/RO_0002256
partially overlaps	http://purl.obolibrary.org/obo/RO_0002151
proper distributary of	http://purl.obolibrary.org/obo/RO_0002382
has no connections with	http://purl.obolibrary.org/obo/RO_0002475
contributes to	http://purl.obolibrary.org/obo/RO_0002326
has intercellular endoparasite	http://purl.obolibrary.org/obo/RO_0002639
represses expression of	http://purl.obolibrary.org/obo/RO_0003002
disease has basis in dysfunction of	http://purl.obolibrary.org/obo/RO_0004020
biomechanically related to	http://purl.obolibrary.org/obo/RO_0002567
measurement property has unit	http://purl.obolibrary.org/obo/RO_0002536
transmitted by	http://purl.obolibrary.org/obo/RO_0002451
has dendrite location	http://purl.obolibrary.org/obo/RO_0002360
synapsed_by_via_type_ib_bouton	http://purl.obolibrary.org/obo/RO_0002109
in parallelism relationship with	http://purl.obolibrary.org/obo/RO_HOM0000005
logical macro assertion on an axiom	http://purl.obolibrary.org/obo/RO_0002580
end, months post birth	http://purl.obolibrary.org/obo/RO_0002544
stem parasite of	http://purl.obolibrary.org/obo/RO_0002235
spatially disjoint from	http://purl.obolibrary.org/obo/RO_0002163
derived by descent from	http://purl.obolibrary.org/obo/RO_0002156
condition has genetic basis in	http://purl.obolibrary.org/obo/RO_0004000
is indistinguishable from	http://purl.obolibrary.org/obo/RO_0002605
has host	http://purl.obolibrary.org/obo/RO_0002454
destabilizes quantity of	http://purl.obolibrary.org/obo/RO_0011014
is homeomorphic for	http://purl.obolibrary.org/obo/RO_0040042
derives from	http://purl.obolibrary.org/obo/RO_0001000
regulates activity of	http://purl.obolibrary.org/obo/RO_0011002
member of	http://purl.obolibrary.org/obo/RO_0002350
in pseudoparalogy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000061
adjacent to	http://purl.obolibrary.org/obo/RO_0002220
is start sequence of	http://purl.obolibrary.org/obo/RO_0002517
regulates quantity of	http://purl.obolibrary.org/obo/RO_0011003
has synaptic io throughout	http://purl.obolibrary.org/obo/RO_0013004
transitively provides input for	http://purl.obolibrary.org/obo/RO_0002414
has potential to developmentally contribute to	http://purl.obolibrary.org/obo/RO_0002385
towards	http://purl.obolibrary.org/obo/RO_0002503
start, months post birth	http://purl.obolibrary.org/obo/RO_0002543
has start sequence	http://purl.obolibrary.org/obo/RO_0002516
positively regulated by	http://purl.obolibrary.org/obo/RO_0002336
results in morphogenesis of	http://purl.obolibrary.org/obo/RO_0002298
start, years post birth	http://purl.obolibrary.org/obo/RO_0002541
ectoparasite of	http://purl.obolibrary.org/obo/RO_0002632
has gene product	http://purl.obolibrary.org/obo/RO_0002205
co-roosts with	http://purl.obolibrary.org/obo/RO_0002801
ends	http://purl.obolibrary.org/obo/RO_0002229
has prototype	http://purl.obolibrary.org/obo/RO_0002214
acts on population of	http://purl.obolibrary.org/obo/RO_0012003
surrounded by	http://purl.obolibrary.org/obo/RO_0002219
expresses	http://purl.obolibrary.org/obo/RO_0002292
located in	http://purl.obolibrary.org/obo/RO_0001025
is causal germline mutation in	http://purl.obolibrary.org/obo/RO_0004013
start, weeks post birth	http://purl.obolibrary.org/obo/RO_0002549
releases neurotransmitter	http://purl.obolibrary.org/obo/RO_0002111
increases expression of	http://purl.obolibrary.org/obo/RO_0003003
disease causes disruption of	http://purl.obolibrary.org/obo/RO_0004024
in homocracy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000003
is genetic basis for condition	http://purl.obolibrary.org/obo/RO_0004010
in xenology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000018
encompasses	http://purl.obolibrary.org/obo/RO_0002085
main stem of	http://purl.obolibrary.org/obo/RO_0002381
in protein structural homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000015
deprecated inheres in	http://purl.obolibrary.org/obo/RO_0004096
proper tributary of	http://purl.obolibrary.org/obo/RO_0002383
during which ends	http://purl.obolibrary.org/obo/RO_0002084
acts upstream of	http://purl.obolibrary.org/obo/RO_0002263
has material basis in loss of function germline mutation in	http://purl.obolibrary.org/obo/RO_0004002
has role	http://purl.obolibrary.org/obo/RO_0000087
differs in attribute	http://purl.obolibrary.org/obo/RO_0002426
synapsed by	http://purl.obolibrary.org/obo/RO_0002103
is symmetric relational form of process class	http://purl.obolibrary.org/obo/RO_0002561
interacts with	http://purl.obolibrary.org/obo/RO_0002434
sends output to	http://purl.obolibrary.org/obo/RO_0002486
disease has basis in	http://purl.obolibrary.org/obo/RO_0004019
directly negatively regulates	http://purl.obolibrary.org/obo/RO_0002630
has phenotype	http://purl.obolibrary.org/obo/RO_0002200
temporal interpretation	http://purl.obolibrary.org/obo/RO_0001900
